ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L,TASK1,ENGLISHSYSSUM3.TXT,0,46429,0,71429,0,56277,4
ROUGE-L,TASK1,ENGLISHSYSSUM4.TXT,0,55714,0,18182,0,27417,4
ROUGE-L,TASK1,ENGLISHSYSSUM2.TXT,0,55714,0,18182,0,27417,4
ROUGE-L,TASK1,ENGLISHSYSSUM1.TXT,0,59286,0,65000,0,62011,4

ROUGE-S1,TASK1,ENGLISHSYSSUM3.TXT,0,08485,0,20000,0,11915,4
ROUGE-S1,TASK1,ENGLISHSYSSUM4.TXT,0,00000,0,00000,0,00000,4
ROUGE-S1,TASK1,ENGLISHSYSSUM2.TXT,0,00000,0,00000,0,00000,4
ROUGE-S1,TASK1,ENGLISHSYSSUM1.TXT,0,10152,0,15625,0,12307,4

ROUGE-2,TASK1,ENGLISHSYSSUM3.TXT,0,08485,0,20000,0,11915,4
ROUGE-2,TASK1,ENGLISHSYSSUM4.TXT,0,00000,0,00000,0,00000,4
ROUGE-2,TASK1,ENGLISHSYSSUM2.TXT,0,00000,0,00000,0,00000,4
ROUGE-2,TASK1,ENGLISHSYSSUM1.TXT,0,10152,0,15625,0,12307,4

ROUGE-1,TASK1,ENGLISHSYSSUM3.TXT,0,42949,0,75000,0,54620,4
ROUGE-1,TASK1,ENGLISHSYSSUM4.TXT,0,64423,0,19565,0,30015,4
ROUGE-1,TASK1,ENGLISHSYSSUM2.TXT,0,64423,0,19565,0,30015,4
ROUGE-1,TASK1,ENGLISHSYSSUM1.TXT,0,60043,0,70833,0,64993,4

ROUGE-SU10,TASK1,ENGLISHSYSSUM3.TXT,0,16644,0,56250,0,25688,4
ROUGE-SU10,TASK1,ENGLISHSYSSUM4.TXT,0,36988,0,05865,0,10125,4
ROUGE-SU10,TASK1,ENGLISHSYSSUM2.TXT,0,36988,0,05865,0,10125,4
ROUGE-SU10,TASK1,ENGLISHSYSSUM1.TXT,0,24086,0,50962,0,32712,4

ROUGE-L,TASK2,PERSIANSYSSUM4.TXT,0,49097,0,97842,0,65385,4
ROUGE-L,TASK2,PERSIANSYSSUM3.TXT,0,49097,0,97842,0,65385,4
ROUGE-L,TASK2,PERSIANSYSSUM2.TXT,0,49097,0,97842,0,65385,4
ROUGE-L,TASK2,PERSIANSYSSUM1.TXT,0,49097,0,97842,0,65385,4

ROUGE-S1,TASK2,PERSIANSYSSUM4.TXT,0,37138,0,96244,0,53595,4
ROUGE-S1,TASK2,PERSIANSYSSUM3.TXT,0,37138,0,96244,0,53595,4
ROUGE-S1,TASK2,PERSIANSYSSUM2.TXT,0,37138,0,96244,0,53595,4
ROUGE-S1,TASK2,PERSIANSYSSUM1.TXT,0,37138,0,96244,0,53595,4

ROUGE-2,TASK2,PERSIANSYSSUM4.TXT,0,37138,0,96244,0,53595,4
ROUGE-2,TASK2,PERSIANSYSSUM3.TXT,0,37138,0,96244,0,53595,4
ROUGE-2,TASK2,PERSIANSYSSUM2.TXT,0,37138,0,96244,0,53595,4
ROUGE-2,TASK2,PERSIANSYSSUM1.TXT,0,37138,0,96244,0,53595,4

ROUGE-1,TASK2,PERSIANSYSSUM4.TXT,0,38475,0,97309,0,55146,4
ROUGE-1,TASK2,PERSIANSYSSUM3.TXT,0,38475,0,97309,0,55146,4
ROUGE-1,TASK2,PERSIANSYSSUM2.TXT,0,38475,0,97309,0,55146,4
ROUGE-1,TASK2,PERSIANSYSSUM1.TXT,0,38475,0,97309,0,55146,4

ROUGE-SU10,TASK2,PERSIANSYSSUM4.TXT,0,32858,0,95693,0,48919,4
ROUGE-SU10,TASK2,PERSIANSYSSUM3.TXT,0,32858,0,95693,0,48919,4
ROUGE-SU10,TASK2,PERSIANSYSSUM2.TXT,0,32858,0,95693,0,48919,4
ROUGE-SU10,TASK2,PERSIANSYSSUM1.TXT,0,32858,0,95693,0,48919,4

